"support_id","country","pipeline","term","estimate","std_error","ci_low","ci_high","df","analysis_role","reporting_status","parameter_family","pv_count","n_rows","n_schools","n_draws_per_pv_min","n_draws_per_pv_max","rhat_max","ess_bulk_min","ess_tail_min","divergences_total","max_treedepth_hits_total","row_support_hash","target_hash","n_draws","divergences","max_treedepth_hits","Sigma_target_hash"
"EST-01","USA","A","b_ESCS_within",25.083381396,1.93738793795384,21.2729935665631,28.8937692254369,349.972573636098,"confirmatory","reportable","fixed_effect",10,4342,150,1000,1000,1.0160203143172,204.953881490476,305.534787378944,0,0,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","45b2d6778b8c198ede4049fc88c52d7a461801b40f5bb44573989719cdb27bb1",,,,""
"EST-01","USA","A","b_ESCS_between",69.7401845973,6.04729687728754,57.8771446021063,81.6032245924937,1360.22214097538,"confirmatory","reportable","fixed_effect",10,4342,150,1000,1000,1.0160203143172,204.953881490476,305.534787378944,0,0,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","45b2d6778b8c198ede4049fc88c52d7a461801b40f5bb44573989719cdb27bb1",,,,""
"EST-01","USA","B","b_ESCS_within",25.0270314591913,1.9287685152794,21.2340059842118,28.8200569341708,361.224091144131,"confirmatory","reportable","fixed_effect",10,4342,150,,,,,,,,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","",1000,,,""
"EST-01","USA","B","b_ESCS_between",68.7515252416273,6.8246113555622,55.3637420670967,82.1393084161579,1374.29008822875,"confirmatory","reportable","fixed_effect",10,4342,150,,,,,,,,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","",1000,,,""
"EST-01","USA","C","b_ESCS_within",25.083381396,1.93738793795384,21.2861708135282,28.8805919784718,,"confirmatory","reportable","fixed_effect",10,4342,150,,,1.00583314964834,242.894169701818,396.241621053082,,,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","45b2d6778b8c198ede4049fc88c52d7a461801b40f5bb44573989719cdb27bb1",1000,0,0,"7c93ce1ad776d7f4f1ef9fdeb6a2a0ebf58b871c3bbeae83638d348fa41a4200"
"EST-01","USA","C","b_ESCS_between",69.7401845973,6.04729687728754,57.8877005139949,81.5926686806051,,"confirmatory","reportable","fixed_effect",10,4342,150,,,1.00583314964834,242.894169701818,396.241621053082,,,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","45b2d6778b8c198ede4049fc88c52d7a461801b40f5bb44573989719cdb27bb1",1000,0,0,"7c93ce1ad776d7f4f1ef9fdeb6a2a0ebf58b871c3bbeae83638d348fa41a4200"
"EST-01","KOR","A","b_ESCS_within",27.8634509841,1.97988086043692,23.9089212261261,31.8179807420739,64.6253254892133,"confirmatory","reportable","fixed_effect",10,6391,186,1000,1000,1.01528788371026,197.814805366015,281.934609224428,0,0,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","866e48257b6410ed26576c1e7842d60b7467a9498f7582815007792559b00b5e",,,,""
"EST-01","KOR","A","b_ESCS_between",92.9388363584,6.54455471581504,80.0827562462458,105.794916470554,536.760816868024,"confirmatory","reportable","fixed_effect",10,6391,186,1000,1000,1.01528788371026,197.814805366015,281.934609224428,0,0,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","866e48257b6410ed26576c1e7842d60b7467a9498f7582815007792559b00b5e",,,,""
"EST-01","KOR","B","b_ESCS_within",,,,,,"confirmatory","computed_but_withheld","fixed_effect",10,6391,186,,,,,,,,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","",1000,,,""
"EST-01","KOR","B","b_ESCS_between",,,,,,"confirmatory","computed_but_withheld","fixed_effect",10,6391,186,,,,,,,,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","",1000,,,""
"EST-01","KOR","C","b_ESCS_within",27.8634509841,1.97988086043692,23.9829558039635,31.7439461642365,,"confirmatory","reportable","fixed_effect",10,6391,186,,,1.0084321457091,403.805843058357,504.321594636433,,,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","866e48257b6410ed26576c1e7842d60b7467a9498f7582815007792559b00b5e",1000,0,0,"ff6cde065ebef3889b3832f1a0076f61fe9b150d4315ac5e0514c4545b0acd41"
"EST-01","KOR","C","b_ESCS_between",92.9388363584,6.54455471581504,80.1117448205507,105.765927896249,,"confirmatory","reportable","fixed_effect",10,6391,186,,,1.0084321457091,403.805843058357,504.321594636433,,,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","866e48257b6410ed26576c1e7842d60b7467a9498f7582815007792559b00b5e",1000,0,0,"ff6cde065ebef3889b3832f1a0076f61fe9b150d4315ac5e0514c4545b0acd41"
